original,renamed
nsin,new_subject_identification_number
T0_VISITNR,visit_number
T0_JVCON,participant_divided_in_variable_or_annual_visiting_group
T0_SEXE,sex
T0_Lft_T0,age_at_the_start_of_the_study
T0_BMI,body_mass_index
T0_RAS,racial_background
T0_A03,what_is_your_marital_status
T0_a08,what_is_your_highest_level_of_education_completed
T0_rfys,subscale_physical_functioning_sf36
T0_rsoc,subscale_social_functioning_sf36
T0_rrolfy,subscale_role_limitations_because_of_physical_health_problems_sf36
T0_rrolem,subscale_role_limitations_because_of_emotional_problems_sf36
T0_rment,subscale_general_mental_health_psychological_distress_and_psychological_well_be
T0_rvit,subscale_vitality_energy_fatigue_sf36
T0_rpijn,subscale_bodily_pain_sf36
T0_ralg,subscale_general_health_perceptions_sf36
T0_rgezv,subscale_general_health_sf36
T0_mobility,mobility_subscale_eq5d
T0_selfcare,self_care_subscale_eq5d
T0_daily,daily_subscale_eq5d
T0_pain,pain_subscale_eq5d
T0_mood,mood_subscale_eq5d
T0_BEN,ben
T0_MVH_A1,mvh_a1
T0_B18a,any_other_chronic_diseases_or_conditions
T0_V18A,asthma_chronic_bronchitis_pulmonary_emphysema_or_copd___chronic_obstructive_pu
T0_V18B,pharyngitis_sinusitis
T0_V18C,severe_heart_disease_or_myocardial_infarction
T0_V18D,hypertension
T0_V18E,consequences_of_a_stroke
T0_V18F,peptic_ulcer_or_duodenal_ulcer
T0_V18G,gall_stones_or_cholecystitis
T0_V18J,kidney_stones_or_severe_renal_disease
T0_V18K,chronic_urinary_tract_infections
T0_V18L,uterine_prolapse
T0_V18M,diabetes_mellitus
T0_V18N,thyroid_disease
T0_V18O,back_disorders_incl_slipped_disc
T0_V18Q,chronic_inflammation_of_joints_such_as_rheumatoid_arthritis
T0_V18R,other_chronic_rheumatic_diseases_longer_than_three_months
T0_V18S,epilepsy
T0_V18T,dizziness_with_falls
T0_V18U,migraine_or_chronic_headache
T0_V18V,severe_skin_disease
T0_V18W,malignant_disease_or_cancer
T0_V18X,disorders_of_neck_shoulder_elbow_wrist_or_hand
T0_V18Y,other_eg_ear_problems_eye_problems_bowel_disorders_psychological_psychiat
T0_comor,the_total_amount_of_comorbidities_based_on_the_list_of_diseases_and_conditions_o
T0_b20,please_indicate_on_the_scale_how_good_or_how_bad_you_believe_your_own_health_to
T0_ZW01,which_definition_is_currently_most_applicable
T0_ZW02,are_you_currently_gainfully_employed
T0_ZW03,are_you_currently_on_sick_leave
T0_ZW04,work_how_many_hours_per_week
T0_ZW05agr,agricultural_worker
T0_ZW05amb,tradesman_or_industrial_worker
T0_ZW05tra,transportation_worker
T0_zw05adm,administrative_worker
T0_zw05comm,retail_worker
T0_zw05dnst,service_worker
T0_zw05and,other_profession
T0_ZW06a,miss_work_due_to_problems_with_hip_and___or_knee
T0_ZW06b,how_long_did_you_have_to_miss_your_work
T0_ZW07a,has_your_work_or_have_your_tasks_changed___no_changes
T0_ZW07b,has_your_work_or_have_your_tasks_changed___i_work_fewer_hours
T0_ZW07c,has_your_work_or_have_your_tasks_changed___i_use_tools___special_equipment
T0_ZW07d,has_your_work_or_have_your_tasks_changed___yes_i_do_different_tasks
T0_ZW07e,has_your_work_or_have_your_tasks_changed___i_have_received_fewer_tasks
T0_ZW07f,has_your_work_or_have_your_tasks_changed___accommodations_have_been_made_to_my_w
T0_ZW07g,has_your_work_or_have_your_tasks_changed___in_a_different_way
T0_D01a,pain_left_hip_and___or_left_groin_and___or_upper_part_of_the_left_upper_leg
T0_d01b,painright_hip_and___or_right_groin_and___or_upper_part_of_the_right_upper_leg
T0_d01c,pain_left_knee
T0_d01d,pain_right_knee
T0_d01e,pain_other
T0_D02,numeric_rating_scale_nrs_for_pain_intensity_of_hip_and__or_knee__right_now
T0_D03,nrs_for_pain_intensity_of_hip_and__or_knee__the_past_week
T0_wmpyn,womac_pain_scale_0_20
T0_wmstf,womac_stiffness_scale_0_8
T0_wmfun,womac_physical_functioning_scale_0_68
T0_wmtot,womac_total_sum_score
T0_wmpyns,womac_standardized_pain_scale_0_100
T0_wmstfs,womac_standardized_stiffness_scale_0_100
T0_wmfuns,womac_standardized_physical_functioning_scale_0_100
T0_wmtots,womac_standardized_total_sum_score_0_100
T0_F01_ha,family_doctor
T0_f01_wvk,nurse___home_care
T0_f01_gzh,family___household_help
T0_f01_fys,physiotherapist
T0_f01_ergo,occupational_therapist
T0_f01_oeft,oefentherapeut__cesar___mensendieck
T0_f01_mw,social_work
T0_f01_psy,psychologist
T0_f01_rev,rehabilitation_doctor
T0_f01_reu,rheumatologist
T0_f01_orth,orthopedist
T0_f01_ands,other_specialist
T0_f01_bedr,company_doctor___human_resources
T0_f01_gmd,gmd___gak___cwi___abp___uszo
T0_f01_past,pastor___priest___other_spiritual_leader
T0_f01_andh,other_caregivers
T0_f01_geen,none
T0_parac,paracetamol
T0_asp,aspirin
T0_ibu,ibuprofen_diclofenac_voltaren_naproxine_naproxen_celecoxib_celebrex_re
T0_anders,other_drugs
T0_geen,no_drugs
T0_PCIpijn,pci_subscale_transformation
T0_PCIaflei,pci_subscale_distraction
T0_PCIeisen,pci_subscale_reducing_demands
T0_PCIterug,pci_subscale_retreating
T0_PCIpiekr,pci_subscale_worrying
T0_PCIrust,pci_subscale_resting
T0_Missos,amount_of_missings_on_sos_items
T0_soscrec,recoded_value_on_sosc
T0_Sosfrec,recoded_value_on_sosf
T0_Sosirec,recoded_value_on_sosi
T0_Soskrec,recoded_value_on_sosk
T0_Sosgem,mean_sos_score
T0_sostotal,total_sos_score_missing_is_mean_of_all_items
T0_ZW3a,accommodations_to_be_made_to_your_job_or_work_station___no_accomodations
T0_zw3b,accommodations_to_be_made_to_your_job_or_work_station___shorter_work_hours
T0_zw3c,accommodations_to_be_made_to_your_job_or_work_station___with_tools___special_equ
T0_zw3d,accommodations_to_be_made_to_your_job_or_work_station___other_tasks
T0_zw3e,accommodations_to_be_made_to_your_job_or_work_station___fewer_tasks
T0_zw3f,accommodations_to_be_made_to_your_job_or_work_station___customized_work_station
T0_zw3g,accommodations_to_be_made_to_your_job_or_work_station___in_another_way
T0_zw05a,prolonged_standing
T0_zw05b,prolonged_sitting
T0_zw05c,prolonged_walking
T0_zw05d,prolonged_kneeling_or_squatting
T0_zw05e,working_with_your_hands_below_knee_height
T0_zw05f,moving_objects_weighing_more_than_5_kg
T0_zw05g,moving_objects_weighing_more_than_25_kg
T0_zw05h,do_work_requiring_maximum_exertion
T0_zw05i,do_physically_heavy_work
T0_zw05j,work_with_vibrating_or_percussion_tools
T0_zw05k,work_with_foot_pedals
T0_zw05l,climb_stairs
T0_zw05m,often_have_to_bend_your_knees
T0_zw05n,walking_on_uneven_ground
T0_zw05o,sit_on_or_move_your_knees
T0_zw05p,sit_on_or_operate_a_machine_that_vibrates
T0_ZW07,previously_performed_paid_work
T0_ZW07_age,age_of_stop_working_grouped_into_categories
T0_zw08adm,profession_before_administrative_worker
T0_zw08agr,profession_before_agricultural_worker
T0_zw08amb,profession_before_tradesman_or_industrial_worker
T0_zw08and,profession_before_other_profession
T0_zw08comm,profession_before_retail_worker
T0_zw08dnst,profession_before_service_worker
T0_zw08tra,profession_before_transportation_worker
T0_I09a,role_as_a_partner_love_comfort_sexuality_support
T0_I09b,role_as_a_parent_care_education
T0_I09c,housework_cooking_cleaning
T0_I09d,jobs_in_and_around_the_house_gardening_etc
T0_I09e,maintaining_social_contacts_visiting_friends_relatives_inviting_people_to_your
T0_I09f,lending_assistance_to_the_sick_or_elderly
T0_I09g,volunteer_work
T0_I09h,using_of_public_transportation
T0_I09i,entering_public_buildings
T0_I10,do_you_do_volunteer_work
T0_I13a,light_housework_eg_cooking
T0_I13b,heavy_housework_eg_vacuuming
T0_I13c,shopping
T0_I13d,care_of_children_or_other_dependents
T0_I13e,light_household_maintenance_eg_replace_a_light_bulb
T0_I13f,heavy_household_projects_eg_bricklaying
T0_I13g,light_work_in_the_garden_eg_water_plants
T0_I13h,hard_work_in_the_garden_eg_digging
T0_I13i,sedentary_pursuits_eg_tv_watching_studying_reading_attending_meetings_writ
T0_I13j,walking_cycling_also_during_your_commute_or_work_breaks
T0_I14,how_many_times_a_week_did_you_do_physical_activities_for_at_least_half_an_hour
T0_J01,do_you_smoke
T0_J02a,do_you_drink_alcohol
T0_J02b,how_many_glasses_do_you_drink_on_average_on_a_weekday
T0_J02c,how_many_glasses_do_you_drink_on_average_on_a_weekendday
T0_J03,have_you_changed_your_eating_habits_in_the_last_three_years
T0_J04a,butter_and_margarine
T0_J04b,olive_oil
T0_J04c,fat_in_general
T0_J04d,meat___meat_products
T0_J04e,fish
T0_J04f,fruit___vegetables___salads
T0_J04g,whole_grains
T0_J04h,pasta_macaroni_spaghetti_and_similar
T0_J04i,salt
T0_J04j,sugar_and_confectionery
T0_J04k,eggs
T0_J04l,vitamins_dietary_supplements
T0_J04m,in_general_i_eat
T0_J05a,losing_weight
T0_J05b,maintaining_weight
T0_J05c,healthier_life
T0_J05d,an_existing_illness_or_health_problem
T0_J05e,other
T0_J06A,multi_vitamins___minerals
T0_J06B,only_anti_oxidants_vitamins_a_e_c
T0_J06C,other_vitamins
T0_J06D,glucosamine_sulfate
T0_J06E,chondroitin_sulfate
T0_J06F,other_supplements
T0_J06G,none_2
T0_JVHPIJN,hip_pain
T0_JVHPIJNL,hip_pain_left
T0_JVHPIJNR,hip_pain_right
T0_JVHSTIJF,morning_stiffness_in_the_hip
T0_JVKPIJN,knee_pain
T0_JVKPIJNL,knee_pain_left
T0_JVKPIJNR,knee_pain_right
T0_JVKSTIJF,morning_stiffness_in_the_knee
T0_KWARMTEL,warmth_left_knee
T0_KWARMTER,warmth_right_knee
T0_KDRUKPL,bony_tenderness_left_knee
T0_KDRUKPR,bony_tenderness_right_knee
T0_KPATGRL,patellofermoral_grinding_test_left_knee
T0_KPATGRR,patelllofermoral_grinding_test_right_knee
T0_KREFILLL,refill_test_left_knee
T0_KREFILLR,refill_test_right_knee
T0_KBENIGL,bony_swelling_medial_and_lateral_joint_margins_left_knee
T0_KBENIGR,bony_swelling_medial_and_lateral_joint_margins_right_knee
T0_KCREPL,crepitus_left_knee_present
T0_KCREPR,crepitus_right_knee_present
T0_KUITGL,starting_position_range_of_motion_left_knee_in_degrees
T0_KUITGR,starting_position_rom_right_knee_in_degrees
T0_KEXTPIJNL,pain_present_on_extension_right_knee
T0_KEXTPIJNR,pain_present_on_knee_extension_left_knee_
T0_KEXTROML,knee_extension_active_rom_range_of_motion_left_knee_in_degrees
T0_KEXTROMR,knee_extension_active_rom_right_kneein_degrees
T0_KFLEXPIJNL,pain_present_on_knee_flexion_left_knee
T0_KFLEXPIJNR,pain_present_on_knee_flexion_right_knee
T0_KFLEXL,knee_flexion_active_rom_left_knee_in_degrees
T0_KFLEXR,knee_flexion_active_rom_right_knee_in_degrees
T0_HENDOPIJNL,pain_present_on_endorotation_left_hip
T0_HENDOPIJNR,pain_present_on_endorotation_right_hip
T0_HFLEXPIJNL,pain_present_on_flexion_left_hip
T0_HFLEXPIJNR,pain_present_on_flexion_right_hip
T0_HEXOPIJNL,pain_present_on_exorotation_left_hip
T0_HEXOPIJNR,pain_present_on_exorotation_right_hip
T0_HADDPIJNR,pain_present_on_adduction_right_hip
T0_HADDPIJNL,pain_present_on_adduction_left_hip
T0_HABDPIJNL,pain_present_on_abduction_left_hip
T0_HABDPIJNR,pain_present_on_abduction_right_hip
T0_HENDOL,endorotation_active_rom_left_hip_in_degrees
T0_HENDOR,endorotation_active_rom_right_hip_in_degrees
T0_HEXOL,exorotation_active_rom_left_hip_in_degrees
T0_HEXOR,exorotation_active_rom_right_hip_in_degrees
T0_HFLEXL,flexion_active_rom_left_hip_in_degrees
T0_HFLEXR,flexion_active_rom_right_hip_in_degrees
T0_HADDR,adduction_active_rom_right_hip_in_degrees
T0_HADDL,adduction_active_rom_left_hip_in_degrees
T0_HABDR,abduction_active_rom_right_hip_in_degrees
T0_HABDL,abduction_active_rom_left_hip_in_degrees
T0_HENDOSTRTL,sitting_starting_position_rom_left_hip_in_degrees
T0_HENDOSTRTR,sitting_starting_position_rom_right_hip_in_degrees
T0_HEXOSTRTL,sitting_starting_position_rom_left_hip_in_degrees_2
T0_HEXOSTRTR,sitting_starting_position_rom_right_hip_in_degrees_2
T0_HFLEXSTRTL,supine_starting_position_rom_left_hip_in_degrees
T0_HFLEXSTRTR,supine_starting_position_rom_right_hip_in_degrees
T0_HABDSTRTL,supine_starting_position_rom_left_hip_in_degrees_2
T0_HABDSTRTR,supine_starting_position_rom_right_hip_in_degrees_2
T0_HADDSTRTL,supine_starting_position_rom_left_hip_in_degrees_3
T0_HADDSTRTR,supine_starting_position_rom_right_hip_in_degrees_3
T0_HCONTRACL,flexion_contracture_left_hip
T0_HCONTRACR,flexion_contracture_right_hip
T0_BOU2L,bouchards_nodes_left_2nd_digit
T0_BOU3L,bouchards_nodes_left_3rd_digit
T0_BOU4L,bouchards_nodes_left_4th_digit
T0_BOU5L,bouchards_nodes_left_5th_digit
T0_BOU2R,bouchards_nodes_right_2nd_digit
T0_BOU3R,bouchards_nodes_right_3rd_digit
T0_BOU4R,bouchards_nodes_right_4th_digit
T0_BOU5R,bouchards_nodes_right_5th_digit
T0_HEB2L,heberdens_nodes_left_2nd_digit
T0_HEB3L,heberdens_nodes_left_3rd_digit
T0_HEB4L,heberdens_nodes_left_4th_digit
T0_HEB5L,heberdens_nodes__left_5th_digit
T0_HEB2R,heberdens_nodes_right_2nd_digit
T0_HEB3R,heberdens_nodes_right_3rd_digit
T0_HEB4R,heberdens_nodes_right_4th_digit
T0_HEB5R,heberdens_nodes_right_5th_digit
T0_QUAD,quadriceps_tendinitis_present
T0_QUADL,quadriceps_tendinitis_left_knee
T0_QUADR,quadriceps_tendinitis_right_knee
T0_ADDUC,adductor_tendinitis_present
T0_ADDUCL,adductor_tendinitis_left
T0_ADDUCR,adductor_tendinitis_right
T0_ILIO,iliopectineal_bursitis_present
T0_ILIOL,iliopectineal_bursitis_left
T0_ILIOR,iliopectineal_bursitis_right
T0_TROCH,trochanteric_bursitis_present
T0_TROCHL,trochanteric_bursitis_left
T0_TROCHR,trochanteric_bursitis_right
T0_RADIC,radicular_syndrome_present
T0_SLR,straight_leg_raising_test_positive
T0_SLRL,straight_leg_raising_test_left
T0_SLRR,straight_leg_raising_test_right
T0_ITISRF,arthritis_present
T0_RF,rheumatoid_factor
T0_dyspl,congenital_dysplasia
T0_DYSPLHK,congenital_dysplasia_hip_knee
T0_DYSPLLR,congenital_dysplasia_left_right
T0_baker,bakers_cyste
T0_BAKERHK,bakers_cyste_hip_knee
T0_BAKERLR,bakers_cyste_left_right
T0_BAND,ligament_or_meniscus_damage
T0_BANDHK,ligament_or_meniscus_damage_hip_knee
T0_BANDLR,ligament_or_meniscus_damage_left_right
T0_MPER,perthes_disease
T0_MPERHK,perthes_disease_hip_hip_knee
T0_MPERLR,perthes_disease_hip_left_right
T0_OSTEO,osteochondritis_dissecans
T0_OSTEOHK,osteochondritis_dissecans_hip_knee
T0_OSTEOLR,osteochondritis_dissecans_left_right
T0_PLICA,plica_syndrome
T0_PLICAHK,plica_syndrome_hip_knee
T0_PLICALR,plica_syndrome_left_right
T0_SUBLU,subluxation
T0_SUBLUXHK,subluxation_hip_knee
T0_SUBLULR,subluxation_hip_left_right
T0_t0KLFemurMeanLatmmAl,t0_bone_density_lateral_femur_left_in_mmal_equivalents_at_four_predefined_loca
T0_t0KLFemurMeanMedmmAl,t0_bone_density_medial_femur_left_in_mmal_equivalents_at_four_predefined_locat
T0_t0KLFemurMeanmmAl,t0_mean_bone_density_femur_left_in_mmal_mean_of_bone_density_lateral_and_media
T0_t0KLTibiaMeanLatmmAl,t0_bone_density_lateral_tibia_left_in_mmal_equivalents_at_four_predefined_loca
T0_t0KLTibiaMeanMedmmAl,t0_bone_density_medial_tibia_leftin_mmal_equivalents_at_four_predefined_locati
T0_t0KLTibiaMeanmmAl,t0_mean_bone_density_tibia_leftin_mmal_mean_of_bone_density_lateral_and_medial
T0_t0KLPeakLatmm,t0_eminence_height_lateral_left_in_mm_height_of_the_lateral_tibial_eminence
T0_t0KLPeakMedmm,t0_eminence_height_medial_left_in_mm_height_of_the_medial_tibial_eminence
T0_t0KLMeanLatJSWmm,t0_mean_lat_jsw_left_in_mm_mean_distance_between_lateral_femur_and_tibia_at_4
T0_t0KLMeanMedJSWmm,t0_mean_medial_jsw_left_in_mm_mean_distance_between_medial_femur_and_tibia_at
T0_t0KLMeanJSWmm,t0_mean_total_jsw_left_in_mm_mean_distance_between_femur_and_tibia_at_8_predef
T0_t0KLMinJSWmm,t0_minimum_jsw_left_in_mm_smallest_distance_between_femur_and_tibia
T0_t0KLAngleJoint,t0_varus_angle_left_in_degrees_angle_between_the_femur_and_tibia_determined_in
T0_t0KLOsteophyteFemurLatmm,t0_osteophyte_area_lateral_femur_left_in_mm2
T0_t0KLOsteophyteFemurMedmm,t0_osteophyte_area_medial_femur_left_in_mm2
T0_t0KLOsteophyteTibiaLatmm,t0_osteophyte_area_lateral_tibia_left_in_mm2
T0_t0KLOsteophyteTibiaMedmm,t0_osteophyte_area_medial_tibia_left_in_mm2
T0_t0KRFemurMeanLatmmAl,t0_bone_density_lateral_femur_right_in_mmal_equivalents_at_four_predefined_loc
T0_t0KRFemurMeanMedmmAl,t0_bone_density_medial_femur_right_in_mmal_equivalents_at_four_predefined_loca
T0_t0KRFemurMeanmmAl,t0_mean_bone_density_femur_right_in_mmal_mean_of_bone_density_lateral_and_medi
T0_t0KRTibiaMeanLatmmAl,t0_bone_density_lateral_tibia_right_in_mmal_equivalents_at_four_predefined_loc
T0_t0KRTibiaMeanMedmmAl,t0_bone_density_medial_tibia_right_in_mmal_equivalents_at_four_predefined_loca
T0_t0KRTibiaMeanmmAl,t0_mean_bone_density_tibia_right_in_mmal_mean_of_bone_density_lateral_and_medi
T0_t0KRPeakLatmm,t0_eminence_height_lateral_right_in_mm_height_of_the_lateral_tibial_eminence
T0_t0KRPeakMedmm,t0_eminence_height_medial_right_in_mm_height_of_the_medial_tibial_eminence
T0_t0KRMeanLatJSWmm,t0_mean_lat_jsw_right_in_mm_mean_distance_between_lateral_femur_and_tibia_at
T0_t0KRMeanMedJSWmm,t0_mean_medial_jsw_right_in_mm_mean_distance_between_medial_femur_and_tibia_at
T0_t0KRMeanJSWmm,t0_mean_total_jsw_right_in_mm_mean_distance_between_femur_and_tibia_at_8_prede
T0_t0KRMinJSWmm,t0_minimum_jsw_right_in_mm_smallest_distance_between_femur_and_tibia
T0_t0KRAngleJoint,t0_varus_angle_right_in_degrees_angle_between_the_femur_and_tibia_determined_i
T0_t0KROsteophyteFemurLatmm,t0_osteophyte_area_lateral_femur_rightin_mm2
T0_t0KROsteophyteFemurMedmm,t0_osteophyte_area_medial_femur_rightin_mm2
T0_t0KROsteophyteTibiaLatmm,t0_osteophyte_area_lateral_tibia_right_in_mm2
T0_t0KROsteophyteTibiaMedmm,t0_osteophyte_area_medial_tibia_right_in_mm2
T0_Menopauze_01,menopause
T0_Leptinengml,leptine_ng_ml
T0_Adiponectineugml,adiponectine_ug_ml
T0_Resistinengml,resistine_ng_ml
T0_CTXIugmmol,ctx_i_ug_mmol
T0_uNTXInMBCEmmol,untx_i_nm_bce_mmol
T0_sPINP,spinp
T0_sOC,soc
T0_sC12C,sc12c
T0_CTXIIngmmol,ctx_ii_ng_mmol
T0_sCS846,scs846
T0_sCOMPUl,scomp_g_ml
T0_sPIIANP,spiianp
T0_sHA,sha
T0_sPIIINP,spiiinp
T0_hsCRP,hscrp
T0_BSE,erythrocyte_sedimentation_rate
